"Algoritmo","Hiperparâmetro","Tipo","Valor atual","Faixa proposta","","","Descrição"
"","train_n","Inteiro","50","20-200","","","número de instâncias ou tamanho do lote de treino usado"
"","mutate_tree_max","Inteiro","3","[1,6]","","","profundidade ou tamanho máximo permitido para a árvore durante a mutação"
"TPSR","","","","","","",""
"","horizon","Inteiro","200","[100,500]","","","Horizonte de planejamento com antecipação (comprimento máximo dos tokens da equação)"
"","rollout","Inteiro","3","[1,10]","","","Número de simulações (rollouts) executadas na árvore de busca."
"","width","Inteiro","3","[1,10]","","","Fator de expansão (Top-k) que determina a largura da árvore de busca."
"","ucb_constant","Contínuo","1.0","[0.1,5]","","","Peso de exploração na fórmula UCB para balancear exploração e aproveitamento."
"","max_input_points","Inteiro","200","[50, 1000]","","","Número máximo de pontos de entrada observados pelo modelo pré-treinado."
"","beam_size","Inteiro","10","[1,50]","","","Tamanho do feixe (beam size) utilizado na etapa de decodificação."
"","n_trees_to_refine","Inteiro","10","[1,20]","","","Quantidade de refinamentos aplicados nas decodificações de árvores."
"DySymNet","","","","","","",""
"","learning_rate2","Contínuo","0.01","[1e-4, 0.1]","","","Controla o tamanho do passo durante a otimização dos pesos, sendo crucial para a convergência do treinamento."
"","reg_weight","Contínuo","5.00E-3","[1e-5, 1e-1]","","","Controla a força da regularização, ajudando a evitar o overfitting e penalizando expressões excessivamente complexas ou longas."
"","threashold","Contínuo","0.05","[0.001,0.2]","","","Utilizado no processo de pruning (poda) para zerar ou remover pesos/conexões irrelevantes na rede simbólica."
"","n_epochs1","Inteiro","10001","[1000, 20000]","","","Definem a duração das etapas de treinamento da rede."
"","n_epochs2","Inteiro","10001","[1000, 20000]","","","Definem a duração das etapas de treinamento da rede."
"","max_norm","Contínuo","1.0","[0.1, 5.0]","","","Atua junto com o corte adaptativo de gradientes (adaptive gradient clipping) para estabilizar o treinamento e evitar explosões de gradiente."
"RAG-SR","","","","","","",""
"","n_gen","","100","[50,300]","","","Número máximo de gerações"
"","n_pop","","200","[50,500]","","","Tamanho da população no algoritmo genético"
"","gene_num","","10","[1,20]","","","Número de árvores em cada solução"
"LLM-SR","","","","","","",""
"","num_islands","Inteiro","10","[1,20]","","","Número de ""ilhas"" no buffer de experiência para manter diversidade"
"","reset_period","Inteiro","14400(4h)","[3600,43200]","","","Segundos entre os resets das ilhas com pior desempenho"
""," cluster_sampling_temperature_init","Inteiro","0.1","[0.01,1.0]","","","Temperatura (aleatoriedade) inicial de amostragem softmax do cluster"
"","cluster_sampling_temperature_period","Inteiro","30000","[5000, 10000]","","","Período de decaimento da temperatura de amostragem"
